datetime,open,high,low,close,tick_volume,spread,real_volume,volume
2023-12-31 23:00:00,42293.638,42378.838,42209.838,42261.238,1287,2424,0,1287
2023-12-31 23:15:00,42261.238,42273.538,42081.938,42210.038,1189,2424,0,1189
2023-12-31 23:30:00,42210.038,42275.338,42179.52,42275.338,878,2424,0,878
2023-12-31 23:45:00,42275.338,42313.238,42249.238,42312.738,646,2424,0,646
2024-01-01 00:00:00,42312.738,42533.738,42288.438,42531.238,988,2424,0,988
2024-01-01 00:15:00,42531.238,42597.243,42447.938,42457.238,1245,2424,0,1245
2024-01-01 00:30:00,42456.887,42484.438,42385.038,42473.052,1070,2424,0,1070
2024-01-01 00:45:00,42473.03,42525.938,42447.938,42502.338,538,2424,0,538
2024-01-01 01:00:00,42502.338,42509.138,42460.655,42496.338,401,2424,0,401
2024-01-01 01:15:00,42496.338,42552.338,42496.338,42522.656,631,2424,0,631
2024-01-01 01:30:00,42522.723,42824.138,42522.677,42733.038,1483,2424,0,1483
2024-01-01 01:45:00,42733.038,42748.738,42644.438,42646.738,1260,2424,0,1260
2024-01-01 02:00:00,42646.738,42675.638,42576.838,42592.438,760,2424,0,760
2024-01-01 02:15:00,42592.438,42608.738,42561.138,42574.338,338,2424,0,338
2024-01-01 02:30:00,42574.338,42646.338,42566.338,42575.038,292,2424,0,292
2024-01-01 02:45:00,42575.038,42628.738,42531.251,42619.238,320,2424,0,320
2024-01-01 03:00:00,42619.238,42628.738,42533.638,42543.038,601,2424,0,601
2024-01-01 03:15:00,42543.038,42543.038,42447.749,42465.738,665,2424,0,665
2024-01-01 03:30:00,42465.738,42491.738,42268.838,42330.638,1145,2424,0,1145
2024-01-01 03:45:00,42330.638,42390.238,42273.838,42368.638,1164,2424,0,1164
2024-01-01 04:00:00,42368.638,42412.938,42306.592,42323.438,814,2424,0,814
2024-01-01 04:15:00,42323.438,42352.138,42236.838,42341.738,1445,2424,0,1445
2024-01-01 04:30:00,42341.738,42379.738,42315.938,42346.138,922,2424,0,922
2024-01-01 04:45:00,42346.138,42438.538,42334.038,42435.338,732,2424,0,732
2024-01-01 05:00:00,42435.338,42438.738,42349.159,42388.138,656,2424,0,656
2024-01-01 05:15:00,42388.138,42397.238,42324.197,42325.038,539,2424,0,539
2024-01-01 05:30:00,42325.038,42356.838,42302.838,42334.538,677,2424,0,677
2024-01-01 05:45:00,42334.538,42334.538,42206.738,42271.438,908,2424,0,908
