datetime,open,high,low,close,tick_volume,spread,real_volume,volume
2023-12-31 23:00:00,26018.59,26073.5,25915.38,25965.03,3596,305,0,3596
2024-01-01 00:00:00,25964.32,25964.63,25604.84,25634.56,3595,302,0,3595
2024-01-01 01:00:00,25632.54,25736.88,25586.33,25609.27,3589,301,0,3589
2024-01-01 02:00:00,25608.8,25741.44,25548.1,25650.69,3594,301,0,3594
2024-01-01 03:00:00,25652.46,26211.55,25629.56,26209.33,3598,302,0,3598
2024-01-01 04:00:00,26209.58,26259.39,25913.22,25919.95,3592,305,0,3592
2024-01-01 05:00:00,25922.87,26161.31,25850.6,25859.68,3596,305,0,3596
2024-01-01 06:00:00,25859.64,25960.95,25764.32,25910.75,3592,304,0,3592
2024-01-01 07:00:00,25913.73,26137.47,25858.9,26010.53,3597,305,0,3597
2024-01-01 08:00:00,26008.87,26061.71,25803.49,26011.23,3589,304,0,3589
2024-01-01 09:00:00,26014.76,26145.23,25975.84,26051.32,3596,306,0,3596
2024-01-01 10:00:00,26051.09,26171.78,25964.17,26131.93,3591,306,0,3591
2024-01-01 11:00:00,26132.54,26260.87,25904.61,25958.59,3594,305,0,3594
2024-01-01 12:00:00,25957.07,25957.07,25730.22,25810.79,3598,303,0,3598
2024-01-01 13:00:00,25812.1,25901.42,25590.94,25596.79,3597,302,0,3597
2024-01-01 14:00:00,25596.44,25868.58,25535.97,25865.15,3588,301,0,3588
2024-01-01 15:00:00,25863.37,26070.67,25757.0,25864.26,3596,304,0,3596
2024-01-01 16:00:00,25864.81,25886.94,25728.24,25846.07,3582,303,0,3582
2024-01-01 17:00:00,25848.01,26119.64,25763.57,26005.09,3595,304,0,3595
2024-01-01 18:00:00,26002.61,26090.56,25936.15,26085.95,3595,306,0,3595
2024-01-01 19:00:00,26085.53,26244.85,26081.0,26171.62,3597,307,0,3597
2024-01-01 20:00:00,26174.68,26387.9,26120.71,26380.82,3593,308,0,3593
2024-01-01 21:00:00,26381.59,26436.19,26185.98,26200.19,3597,309,0,3597
2024-01-01 22:00:00,26202.31,26413.52,26139.38,26388.08,3595,308,0,3595
2024-01-01 23:00:00,26388.26,26546.09,26325.16,26492.95,3593,310,0,3593
2024-01-02 00:00:00,26492.94,26687.21,26463.9,26520.89,3593,312,0,3593
2024-01-02 01:00:00,26522.86,26643.39,26412.73,26574.34,3595,311,0,3595
2024-01-02 02:00:00,26575.73,26685.54,26431.26,26443.12,3595,312,0,3595
2024-01-02 03:00:00,26443.66,26789.2,26420.32,26788.35,3593,311,0,3593
2024-01-02 04:00:00,26786.21,26843.62,26578.44,26608.15,3598,313,0,3598
2024-01-02 05:00:00,26607.46,26621.69,26382.66,26534.51,3593,311,0,3593
2024-01-02 06:00:00,26537.61,26780.12,26488.39,26628.73,3594,312,0,3594
2024-01-02 07:00:00,26626.0,26678.12,26402.68,26495.43,3597,311,0,3597
2024-01-02 08:00:00,26494.98,26607.1,26345.17,26539.21,3594,310,0,3594
2024-01-02 09:00:00,26543.1,26548.1,26241.03,26260.15,3595,309,0,3595
2024-01-02 10:00:00,26259.47,26400.37,26095.97,26357.84,3596,308,0,3596
2024-01-02 11:00:00,26355.79,26476.95,26300.2,26405.78,3595,310,0,3595
2024-01-02 12:00:00,26412.12,26412.12,26093.69,26130.32,3593,308,0,3593
2024-01-02 13:00:00,26132.98,26352.09,25951.5,25979.53,3596,306,0,3596
2024-01-02 14:00:00,25979.2,26086.98,25860.64,25951.9,3596,305,0,3596
2024-01-02 15:00:00,25955.6,26133.45,25914.9,26041.42,3597,305,0,3597
2024-01-02 16:00:00,26042.36,26213.46,25978.94,26169.27,3595,306,0,3595
2024-01-02 17:00:00,26172.8,26242.71,26105.82,26214.85,3594,308,0,3594
2024-01-02 18:00:00,26216.78,26298.47,26064.98,26075.75,3593,307,0,3593
2024-01-02 19:00:00,26075.31,26295.51,25962.97,26287.61,3595,306,0,3595
2024-01-02 20:00:00,26288.25,26484.24,26200.4,26261.65,3592,309,0,3592
2024-01-02 21:00:00,26257.44,26396.85,26210.6,26369.11,3594,309,0,3594
2024-01-02 22:00:00,26369.33,26570.72,26327.23,26514.46,3592,310,0,3592
2024-01-02 23:00:00,26512.24,26692.45,26478.78,26573.34,3597,312,0,3597
2024-01-03 00:00:00,26576.78,26846.9,26525.02,26685.99,3595,313,0,3595
2024-01-03 01:00:00,26686.04,26827.64,26445.37,26468.38,3593,312,0,3593
2024-01-03 02:00:00,26470.88,26474.35,26175.03,26260.59,3591,308,0,3591
2024-01-03 03:00:00,26260.66,26436.31,26088.99,26370.35,3594,307,0,3594
2024-01-03 04:00:00,26369.78,26407.09,26077.19,26113.56,3593,307,0,3593
2024-01-03 05:00:00,26116.47,26240.82,26017.7,26164.6,3595,307,0,3595
2024-01-03 06:00:00,26162.22,26415.87,26047.33,26304.61,3592,307,0,3592
2024-01-03 07:00:00,26304.09,26527.13,26270.86,26514.15,3592,310,0,3592
2024-01-03 08:00:00,26516.01,26543.48,26102.8,26168.03,3591,308,0,3591
2024-01-03 09:00:00,26173.24,26248.79,26032.05,26032.05,3593,307,0,3593
2024-01-03 10:00:00,26031.44,26050.23,25695.9,25770.96,3593,303,0,3593
2024-01-03 11:00:00,25769.77,25874.68,25687.75,25787.0,3591,303,0,3591
2024-01-03 12:00:00,25785.82,25930.21,25764.23,25886.42,3595,304,0,3595
2024-01-03 13:00:00,25884.99,25931.06,25483.53,25622.56,3594,300,0,3594
2024-01-03 14:00:00,25623.87,25650.51,25457.85,25620.24,3591,300,0,3591
2024-01-03 15:00:00,25623.89,25696.64,25520.13,25650.36,3593,301,0,3593
2024-01-03 16:00:00,25649.61,25880.12,25604.27,25833.34,3595,302,0,3595
2024-01-03 17:00:00,25829.13,26085.3,25749.67,26015.06,3592,304,0,3592
2024-01-03 18:00:00,26013.94,26231.21,26000.12,26145.27,3595,306,0,3595
2024-01-03 19:00:00,26147.79,26467.75,26139.64,26248.36,3594,308,0,3594
2024-01-03 20:00:00,26251.39,26397.59,26246.13,26370.26,3593,309,0,3593
2024-01-03 21:00:00,26370.42,26389.87,25905.0,26012.89,3596,305,0,3596
2024-01-03 22:00:00,26015.09,26172.58,25932.45,26172.58,3598,306,0,3598
2024-01-03 23:00:00,26175.32,26323.92,26140.92,26272.6,3595,308,0,3595
2024-01-04 00:00:00,26271.33,26392.08,26189.49,26263.24,3593,309,0,3593
