datetime,open,high,low,close,tick_volume,spread,real_volume,volume
2023-12-31 23:00:00,42293.638,42378.838,42081.938,42312.738,4000,2424,0,4000
2024-01-01 00:00:00,42312.738,42597.243,42288.438,42502.338,3841,2424,0,3841
2024-01-01 01:00:00,42502.338,42824.138,42460.655,42646.738,3775,2424,0,3775
2024-01-01 02:00:00,42646.738,42675.638,42531.251,42619.238,1710,2424,0,1710
2024-01-01 03:00:00,42619.238,42628.738,42268.838,42368.638,3575,2424,0,3575
2024-01-01 04:00:00,42368.638,42438.538,42236.838,42435.338,3913,2424,0,3913
2024-01-01 05:00:00,42435.338,42438.738,42206.738,42271.438,2780,2424,0,2780
2024-01-01 06:00:00,42271.438,42460.038,42237.83,42422.138,2554,2424,0,2554
2024-01-01 07:00:00,42422.138,42534.738,42420.538,42530.738,1961,2424,0,1961
2024-01-01 08:00:00,42530.738,42595.838,42488.053,42586.938,2218,2424,0,2218
2024-01-01 09:00:00,42586.938,42731.138,42568.838,42687.538,2794,2424,0,2794
2024-01-01 10:00:00,42687.538,42793.138,42659.938,42726.142,2529,2424,0,2529
2024-01-01 11:00:00,42726.142,42798.738,42636.838,42726.438,2569,2424,0,2569
2024-01-01 12:00:00,42726.438,42823.938,42650.138,42680.738,3329,2424,0,3329
2024-01-01 13:00:00,42680.738,42786.238,42646.246,42753.423,2575,2424,0,2575
2024-01-01 14:00:00,42751.19,42754.538,42613.288,42643.93,3213,2424,0,3213
2024-01-01 15:00:00,42643.93,42886.038,42616.115,42815.738,3625,2424,0,3625
2024-01-01 16:00:00,42815.738,42897.638,42691.929,42758.438,4827,2424,0,4827
2024-01-01 17:00:00,42758.438,42859.238,42733.638,42845.838,2246,2424,0,2246
2024-01-01 18:00:00,42845.838,43258.838,42845.838,43146.838,5457,2424,0,5457
2024-01-01 19:00:00,43146.838,43591.938,43132.138,43555.038,5007,2424,0,5007
2024-01-01 20:00:00,43555.038,43906.738,43548.838,43752.038,6245,2424,0,6245
2024-01-01 21:00:00,43752.038,43851.738,43529.281,43678.538,4011,2424,0,4011
2024-01-01 22:00:00,43678.538,43722.538,43424.838,43582.738,3418,100,0,3418
2024-01-01 23:00:00,43582.738,44264.738,43582.738,44229.038,7795,2424,0,7795
2024-01-02 00:00:00,44229.038,45374.38,44199.855,45176.603,12668,2424,0,12668
2024-01-02 01:00:00,45178.538,45475.638,44748.938,44925.138,10045,2424,0,10045
2024-01-02 02:00:00,44925.138,45424.938,44925.138,45418.292,6728,2424,0,6728
2024-01-02 03:00:00,45418.292,45563.038,45168.938,45433.738,7042,2424,0,7042
2024-01-02 04:00:00,45433.738,45483.138,45191.938,45209.759,5674,2424,0,5674
2024-01-02 05:00:00,45210.538,45364.738,45151.892,45216.938,4605,2424,0,4605
2024-01-02 06:00:00,45216.938,45344.938,45161.901,45201.638,3795,2424,0,3795
2024-01-02 07:00:00,45201.638,45776.198,45201.338,45494.338,6755,2424,0,6755
2024-01-02 08:00:00,45494.338,45900.759,45362.896,45815.638,9974,2424,0,9974
2024-01-02 09:00:00,45815.638,45939.038,45667.982,45728.572,7345,2424,0,7345
2024-01-02 10:00:00,45728.102,45771.538,45476.838,45654.538,6631,2424,0,6631
2024-01-02 11:00:00,45654.538,45766.338,45256.838,45485.538,7149,2424,0,7149
2024-01-02 12:00:00,45485.538,45653.038,45322.038,45353.838,7029,2424,0,7029
2024-01-02 13:00:00,45353.838,45757.838,45315.638,45682.336,5783,2424,0,5783
2024-01-02 14:00:00,45685.138,45848.738,45024.655,45292.338,10332,2424,0,10332
2024-01-02 15:00:00,45292.338,45358.638,44867.281,45213.738,13335,2424,0,13335
2024-01-02 16:00:00,45213.738,45447.938,44916.838,45392.238,11274,2424,0,11274
2024-01-02 17:00:00,45392.238,45420.838,44978.738,45000.038,7313,2424,0,7313
2024-01-02 18:00:00,45000.038,45304.399,44968.438,45187.738,6575,2424,0,6575
2024-01-02 19:00:00,45187.738,45283.538,44782.138,45070.34,7975,2424,0,7975
2024-01-02 20:00:00,45070.423,45221.338,44767.732,44823.938,7302,2424,0,7302
2024-01-02 21:00:00,44823.938,45153.738,44598.838,45153.738,7210,2424,0,7210
2024-01-02 22:00:00,45153.738,45333.338,44869.838,45005.438,4942,100,0,4942
2024-01-02 23:00:00,45005.438,45081.138,44816.938,44978.538,5243,2424,0,5243
2024-01-03 00:00:00,44978.538,45248.838,44894.638,45166.838,5225,2424,0,5225
2024-01-03 01:00:00,45166.838,45373.538,45133.038,45346.538,5602,2424,0,5602
2024-01-03 02:00:00,45346.538,45448.738,45250.538,45311.438,4193,2424,0,4193
2024-01-03 03:00:00,45311.438,45345.546,45186.926,45296.638,2814,2424,0,2814
2024-01-03 04:00:00,45296.638,45308.438,45142.838,45217.538,2956,2424,0,2956
2024-01-03 05:00:00,45217.538,45328.738,45148.838,45198.745,3590,2424,0,3590
2024-01-03 06:00:00,45198.744,45404.038,45183.838,45361.538,3178,2424,0,3178
2024-01-03 07:00:00,45361.538,45421.738,44958.838,45029.238,5142,2424,0,5142
2024-01-03 08:00:00,45029.238,45234.046,45022.34,45222.838,4155,2424,0,4155
2024-01-03 09:00:00,45222.838,45578.84,45205.668,45377.377,5153,2424,0,5153
2024-01-03 10:00:00,45377.375,45419.638,45060.087,45174.438,5569,2424,0,5569
2024-01-03 11:00:00,45174.438,45204.038,43498.838,43724.571,16404,2424,0,16404
2024-01-03 12:00:00,43724.785,43737.538,40331.838,42793.903,30321,2424,0,30321
2024-01-03 13:00:00,42794.255,42819.738,42311.638,42539.238,19012,2424,0,19012
2024-01-03 14:00:00,42539.238,42545.138,42061.538,42202.938,18813,2424,0,18813
2024-01-03 15:00:00,42201.363,43024.338,42192.938,43006.738,15277,100,0,15277
2024-01-03 16:00:00,43007.538,43584.498,42798.838,43007.938,18766,2424,0,18766
2024-01-03 17:00:00,43007.938,43048.238,42598.838,42912.524,12983,2424,0,12983
2024-01-03 18:00:00,42912.524,43063.638,41918.838,42266.338,10397,2424,0,10397
2024-01-03 19:00:00,42266.338,43027.438,42164.238,42598.732,16710,2424,0,16710
2024-01-03 20:00:00,42598.74,42849.138,42519.538,42706.938,9421,2424,0,9421
2024-01-03 21:00:00,42716.668,42969.638,42583.819,42925.838,8166,2424,0,8166
2024-01-03 22:00:00,42925.838,42947.938,42599.06,42752.338,5034,100,0,5034
2024-01-03 23:00:00,42752.338,42854.706,42589.638,42848.238,5546,2424,0,5546
2024-01-04 00:00:00,42848.238,42991.638,42761.347,42882.138,6011,2424,0,6011
2024-01-04 01:00:00,42882.138,42941.338,42623.818,42715.338,7030,2424,0,7030
2024-01-04 02:00:00,42715.338,43234.738,42697.077,43149.838,6171,2424,0,6171
2024-01-04 03:00:00,43149.838,43227.738,43012.138,43117.238,5768,2424,0,5768
