symbol,direction,entry_price,size,entry_time,stop_loss,take_profit,exit_price,exit_time,exit_reason,pnl,signal_time,month,day
Jump 50 Index,sell,32771.39,0.05,2025-01-01 04:15:00,33114.87341,32448.62,32448.62,2025-01-01 04:30:00,take_profit,16.138500000000022,2025-01-01 04:00:00,2025-01,2025-01-01
Jump 50 Index,buy,32191.88,0.05,2025-01-01 05:30:00,32353.59138,33246.71724,32353.59138,2025-01-01 05:15:00,stop_loss,8.085569000000033,2025-01-01 05:15:00,2025-01,2025-01-01
Crash 500 Index,sell,4229.887,0.2,2025-01-01 05:30:00,4247.029,4178.7609999999995,4247.029,2025-01-01 06:00:00,stop_loss,-3.4284000000001473,2025-01-01 05:15:00,2025-01,2025-01-01
Crash 1000 Index,sell,5476.247,0.2,2025-01-01 04:00:00,5494.593,5439.552000000001,5439.552000000001,2025-01-01 07:15:00,take_profit,7.338999999999942,2025-01-01 03:45:00,2025-01,2025-01-01
Crash 1000 Index,sell,5466.246,0.2,2025-01-01 04:15:00,5494.593,5439.552000000001,5439.552000000001,2025-01-01 07:15:00,take_profit,5.338799999999901,2025-01-01 04:00:00,2025-01,2025-01-01
Jump 75 Index,buy,8498.38,0.05,2025-01-01 07:00:00,8322.67,8526.609999999999,8526.609999999999,2025-01-01 07:45:00,take_profit,1.4114999999999782,2025-01-01 06:45:00,2025-01,2025-01-01
BTCUSD,buy,93673.338,0.05,2025-01-01 06:45:00,93438.59416200001,94142.825676,93438.59416200001,2025-01-01 08:15:00,stop_loss,-11.737191899999743,2025-01-01 06:30:00,2025-01,2025-01-01
BTCUSD,buy,93733.038,0.05,2025-01-01 07:00:00,93438.59416200001,94142.825676,93438.59416200001,2025-01-01 08:15:00,stop_loss,-14.722191899999599,2025-01-01 06:45:00,2025-01,2025-01-01
Jump 75 Index,sell,8526.76,0.05,2025-01-01 09:30:00,8621.87,8384.779999999999,8621.87,2025-01-01 09:30:00,stop_loss,-4.755500000000029,2025-01-01 09:15:00,2025-01,2025-01-01
Boom 300 Index,buy,720.268,1.0,2025-01-01 09:45:00,701.176,751.5099999999998,701.176,2025-01-01 11:30:00,stop_loss,-19.091999999999985,2025-01-01 09:30:00,2025-01,2025-01-01
