symbol,direction,entry_price,size,entry_time,stop_loss,take_profit,exit_price,exit_time,exit_reason,pnl,signal_time,month,day
Volatility 10 Index,buy,6418.85,1.0,2025-01-02 16:15:00,6406.377857142857,6444.121285714286,6406.377857142857,2025-01-02 20:45:00,stop_loss,-12.472142857143808,2025-01-02 16:00:00,2025-01,2025-01-02
Volatility 10 Index,sell,6410.473,1.0,2025-01-02 21:30:00,6421.409000000001,6388.862,6421.409000000001,2025-01-02 22:00:00,stop_loss,-10.936000000000604,2025-01-02 21:15:00,2025-01,2025-01-02
Volatility 10 Index,sell,6418.148,1.0,2025-01-02 15:45:00,6430.5478571428575,6393.147285714285,6430.5478571428575,2025-01-02 23:15:00,stop_loss,-12.3998571428574,2025-01-02 15:30:00,2025-01,2025-01-02
Volatility 10 Index,sell,6425.659,1.0,2025-01-03 01:15:00,6435.692000000001,6405.697999999999,6405.697999999999,2025-01-03 04:15:00,take_profit,19.96100000000024,2025-01-03 01:00:00,2025-01,2025-01-03
Volatility 10 Index,buy,6410.633,1.0,2025-01-03 17:15:00,6399.310428571429,6433.0951428571425,6399.310428571429,2025-01-03 20:15:00,stop_loss,-11.322571428570882,2025-01-03 17:00:00,2025-01,2025-01-03
Volatility 10 Index,buy,6409.859,1.0,2025-01-04 14:00:00,6400.081428571429,6429.807142857142,6400.081428571429,2025-01-04 15:45:00,stop_loss,-9.777571428571719,2025-01-04 13:45:00,2025-01,2025-01-04
Volatility 10 Index,sell,6409.822,1.0,2025-01-05 18:00:00,6420.721428571428,6388.338142857143,6420.721428571428,2025-01-06 02:00:00,stop_loss,-10.899428571427961,2025-01-05 17:45:00,2025-01,2025-01-06
Volatility 10 Index,buy,6410.415,1.0,2025-01-05 20:30:00,6400.127142857143,6430.789714285715,6430.789714285715,2025-01-06 02:15:00,take_profit,20.374714285714617,2025-01-05 20:15:00,2025-01,2025-01-06
Volatility 10 Index,buy,6457.004,1.0,2025-01-09 06:00:00,6447.1320000000005,6476.673,6476.673,2025-01-09 10:30:00,take_profit,19.66899999999987,2025-01-09 05:45:00,2025-01,2025-01-09
Volatility 10 Index,sell,6454.877,1.0,2025-01-10 08:45:00,6464.882714285714,6434.979571428571,6464.882714285714,2025-01-10 15:00:00,stop_loss,-10.00571428571402,2025-01-10 08:30:00,2025-01,2025-01-10
Volatility 10 Index,sell,6450.275,1.0,2025-01-10 12:45:00,6460.056571428572,6430.009857142856,6460.056571428572,2025-01-10 15:00:00,stop_loss,-9.781571428572533,2025-01-10 12:30:00,2025-01,2025-01-10
Volatility 10 Index,sell,6467.617,1.0,2025-01-10 16:45:00,6478.292428571429,6447.502142857144,6478.292428571429,2025-01-10 17:45:00,stop_loss,-10.67542857142871,2025-01-10 16:30:00,2025-01,2025-01-10
Volatility 10 Index,sell,6434.067,1.0,2025-01-11 13:45:00,6444.9415714285715,6412.866857142857,6412.866857142857,2025-01-11 17:15:00,take_profit,21.200142857142964,2025-01-11 13:30:00,2025-01,2025-01-11
Volatility 10 Index,buy,6438.08,1.0,2025-01-12 12:00:00,6427.731428571429,6458.888142857142,6427.731428571429,2025-01-12 13:15:00,stop_loss,-10.348571428570722,2025-01-12 11:45:00,2025-01,2025-01-12
Volatility 10 Index,buy,6431.053,1.0,2025-01-13 00:45:00,6421.608,6450.915000000001,6450.915000000001,2025-01-13 02:15:00,take_profit,19.86200000000099,2025-01-13 00:30:00,2025-01,2025-01-13
Volatility 10 Index,buy,6439.913,1.0,2025-01-13 01:00:00,6429.224285714286,6461.047428571428,6461.047428571428,2025-01-13 06:00:00,take_profit,21.134428571428543,2025-01-13 00:45:00,2025-01,2025-01-13
Volatility 10 Index,buy,6474.965,1.0,2025-01-13 19:45:00,6463.407857142858,6497.695285714285,6497.695285714285,2025-01-14 01:00:00,take_profit,22.730285714284946,2025-01-13 19:30:00,2025-01,2025-01-14
Volatility 10 Index,sell,6502.302,1.0,2025-01-14 20:15:00,6513.610571428571,6480.287857142856,6480.287857142856,2025-01-15 01:15:00,take_profit,22.01414285714327,2025-01-14 20:00:00,2025-01,2025-01-15
Volatility 10 Index,sell,6487.309,1.0,2025-01-15 07:30:00,6498.594000000001,6464.495999999998,6498.594000000001,2025-01-15 07:15:00,stop_loss,-11.285000000000764,2025-01-15 07:15:00,2025-01,2025-01-15
Volatility 10 Index,buy,6499.48,1.0,2025-01-15 09:15:00,6486.269571428571,6526.908857142857,6486.269571428571,2025-01-15 14:30:00,stop_loss,-13.210428571428565,2025-01-15 09:00:00,2025-01,2025-01-15
Volatility 10 Index,sell,6499.452,1.0,2025-01-15 07:15:00,6509.561857142858,6478.569285714284,6478.569285714284,2025-01-15 15:45:00,take_profit,20.882714285716247,2025-01-15 07:00:00,2025-01,2025-01-15
Volatility 10 Index,buy,6489.37,1.0,2025-01-16 01:15:00,6478.242428571429,6511.034142857142,6511.034142857142,2025-01-16 06:15:00,take_profit,21.664142857141997,2025-01-16 01:00:00,2025-01,2025-01-16
Volatility 10 Index,buy,6512.639,1.0,2025-01-17 00:45:00,6500.911428571429,6535.8811428571435,6500.911428571429,2025-01-17 03:15:00,stop_loss,-11.727571428571537,2025-01-17 00:30:00,2025-01,2025-01-17
Volatility 10 Index,sell,6516.615,1.0,2025-01-17 10:15:00,6527.094428571429,6495.221142857144,6495.221142857144,2025-01-17 16:15:00,take_profit,21.393857142856177,2025-01-17 10:00:00,2025-01,2025-01-17
Volatility 10 Index,sell,6537.542,1.0,2025-01-20 11:15:00,6547.428857142857,6517.651285714285,6547.428857142857,2025-01-20 13:30:00,stop_loss,-9.88685714285657,2025-01-20 11:00:00,2025-01,2025-01-20
Volatility 10 Index,sell,6547.88,1.0,2025-01-20 09:15:00,6558.0845714285715,6527.383857142856,6527.383857142856,2025-01-20 21:00:00,take_profit,20.49614285714415,2025-01-20 09:00:00,2025-01,2025-01-20
Volatility 10 Index,sell,6539.561,1.0,2025-01-20 20:00:00,6549.202714285715,6520.997571428571,6520.997571428571,2025-01-20 21:45:00,take_profit,18.56342857142863,2025-01-20 19:45:00,2025-01,2025-01-20
Volatility 10 Index,sell,6516.822,1.0,2025-01-21 19:00:00,6530.452142857143,6490.500714285714,6530.452142857143,2025-01-22 01:00:00,stop_loss,-13.630142857143255,2025-01-21 18:45:00,2025-01,2025-01-22
Volatility 10 Index,buy,6512.659,1.0,2025-01-21 23:15:00,6502.367714285715,6533.022571428571,6533.022571428571,2025-01-22 01:15:00,take_profit,20.36357142857105,2025-01-21 23:00:00,2025-01,2025-01-22
Volatility 10 Index,buy,6530.08,1.0,2025-01-22 05:45:00,6519.5028571428575,6552.056285714286,6519.5028571428575,2025-01-22 06:45:00,stop_loss,-10.577142857142462,2025-01-22 05:30:00,2025-01,2025-01-22
Volatility 10 Index,buy,6517.827,1.0,2025-01-22 07:30:00,6508.207857142857,6536.729285714286,6536.729285714286,2025-01-22 10:15:00,take_profit,18.902285714285426,2025-01-22 07:15:00,2025-01,2025-01-22
Volatility 10 Index,buy,6521.631,1.0,2025-01-21 23:45:00,6511.116571428572,6542.6358571428555,6542.6358571428555,2025-01-22 10:45:00,take_profit,21.004857142855144,2025-01-21 23:30:00,2025-01,2025-01-22
Volatility 10 Index,buy,6520.054,1.0,2025-01-22 04:15:00,6507.802142857143,6544.104714285715,6544.104714285715,2025-01-22 10:45:00,take_profit,24.050714285715003,2025-01-22 04:00:00,2025-01,2025-01-22
Volatility 10 Index,buy,6522.539,1.0,2025-01-22 04:30:00,6510.116285714285,6547.252428571429,6547.252428571429,2025-01-22 10:45:00,take_profit,24.713428571429176,2025-01-22 04:15:00,2025-01,2025-01-22
Volatility 10 Index,buy,6525.463,1.0,2025-01-22 03:45:00,6513.746714285714,6548.970571428573,6548.970571428573,2025-01-22 11:15:00,take_profit,23.5075714285731,2025-01-22 03:30:00,2025-01,2025-01-22
Volatility 10 Index,buy,6547.609,1.0,2025-01-23 10:15:00,6537.907,6567.589000000001,6537.907,2025-01-23 13:30:00,stop_loss,-9.702000000000226,2025-01-23 10:00:00,2025-01,2025-01-23
Volatility 10 Index,sell,6542.712,1.0,2025-01-23 13:15:00,6552.660285714287,6523.016428571427,6523.016428571427,2025-01-23 15:15:00,take_profit,19.695571428573203,2025-01-23 13:00:00,2025-01,2025-01-23
Volatility 10 Index,sell,6535.935,1.0,2025-01-23 14:45:00,6546.048428571429,6516.374142857142,6516.374142857142,2025-01-23 15:30:00,take_profit,19.560857142858367,2025-01-23 14:30:00,2025-01,2025-01-23
Volatility 10 Index,sell,6497.843,1.0,2025-01-24 07:15:00,6508.732142857143,6476.4187142857145,6508.732142857143,2025-01-24 11:30:00,stop_loss,-10.88914285714327,2025-01-24 07:00:00,2025-01,2025-01-24
Volatility 10 Index,sell,6503.765,1.0,2025-01-24 12:00:00,6515.028142857143,6481.1097142857125,6515.028142857143,2025-01-24 23:45:00,stop_loss,-11.263142857143066,2025-01-24 11:45:00,2025-01,2025-01-24
Volatility 10 Index,buy,6519.644,1.0,2025-01-25 05:15:00,6507.920857142858,6542.820285714284,6507.920857142858,2025-01-25 08:45:00,stop_loss,-11.723142857142193,2025-01-25 05:00:00,2025-01,2025-01-25
Volatility 10 Index,sell,6493.579,1.0,2025-01-25 16:45:00,6504.619428571428,6471.396142857144,6504.619428571428,2025-01-25 21:30:00,stop_loss,-11.040428571428492,2025-01-25 16:30:00,2025-01,2025-01-25
Volatility 10 Index,sell,6400.976,1.0,2025-01-28 11:30:00,6410.693142857142,6381.541714285714,6381.541714285714,2025-01-28 14:00:00,take_profit,19.43428571428558,2025-01-28 11:15:00,2025-01,2025-01-28
Volatility 10 Index,sell,6377.553,1.0,2025-01-29 02:15:00,6387.135,6357.858,6387.135,2025-01-29 03:15:00,stop_loss,-9.582000000000335,2025-01-29 02:00:00,2025-01,2025-01-29
