datetime,open,high,low,close,tick_volume,spread,real_volume,volume
2024-12-31 23:00:00,32744.47,32789.3,32531.77,32619.51,3595,383,0,3595
2025-01-01 00:00:00,32617.47,32646.73,32314.09,32492.85,3593,381,0,3593
2025-01-01 01:00:00,32491.4,32664.46,32276.74,32590.82,3592,380,0,3592
2025-01-01 02:00:00,32587.91,32933.58,32448.62,32852.51,3595,383,0,3595
2025-01-01 03:00:00,32849.55,33093.41,32794.83,32949.58,3597,387,0,3597
2025-01-01 04:00:00,32949.75,32956.56,32388.66,32393.55,3594,382,0,3594
2025-01-01 05:00:00,32391.22,32676.39,31942.84,31965.56,3595,377,0,3595
2025-01-01 06:00:00,31967.56,32197.29,31820.48,31822.98,3600,375,0,3600
2025-01-01 07:00:00,31823.75,31919.4,31707.97,31739.34,3595,374,0,3595
2025-01-01 08:00:00,31734.54,31991.22,31709.79,31905.49,3597,374,0,3597
2025-01-01 09:00:00,31908.89,31956.7,31669.41,31702.46,3597,373,0,3597
2025-01-01 10:00:00,31701.28,32046.88,31627.67,32033.62,3592,373,0,3592
2025-01-01 11:00:00,32030.06,32427.13,31972.02,32395.12,3598,377,0,3598
2025-01-01 12:00:00,32401.83,32512.61,32215.99,32381.79,3594,380,0,3594
2025-01-01 13:00:00,32378.62,32404.71,32042.25,32128.81,3591,378,0,3591
2025-01-01 14:00:00,32129.38,32160.56,31958.11,31989.23,3592,377,0,3592
2025-01-01 15:00:00,31985.63,32138.92,31932.03,32036.92,3599,376,0,3599
2025-01-01 16:00:00,32036.96,32285.05,31959.12,32008.73,3592,377,0,3592
2025-01-01 17:00:00,32009.29,32283.77,31940.15,32104.29,3598,376,0,3598
2025-01-01 18:00:00,32106.62,32156.5,31710.74,31727.71,3597,374,0,3597
2025-01-01 19:00:00,31724.92,31926.44,31492.12,31584.32,3599,371,0,3599
2025-01-01 20:00:00,31586.87,31641.9,31469.16,31531.53,3593,371,0,3593
2025-01-01 21:00:00,31533.05,31533.1,31235.59,31318.57,3592,368,0,3592
2025-01-01 22:00:00,31318.84,31601.45,31284.78,31397.99,3598,369,0,3598
2025-01-01 23:00:00,31398.41,31525.02,31170.77,31236.77,3594,367,0,3594
2025-01-02 00:00:00,31238.47,31364.93,31065.63,31071.35,3596,366,0,3596
2025-01-02 01:00:00,31070.42,31270.59,30995.68,31234.03,3592,365,0,3592
2025-01-02 02:00:00,31236.88,31378.88,31212.16,31321.43,3595,368,0,3595
2025-01-02 03:00:00,31317.92,31391.13,31123.9,31216.29,3595,367,0,3595
2025-01-02 04:00:00,31219.67,31300.63,31052.01,31090.71,3597,366,0,3597
2025-01-02 05:00:00,31089.09,31183.97,30926.14,31119.72,3598,365,0,3598
2025-01-02 06:00:00,31120.76,31368.14,30950.21,31284.4,3591,365,0,3591
2025-01-02 07:00:00,31286.19,31479.76,31254.51,31455.27,3596,368,0,3596
2025-01-02 08:00:00,31450.56,31723.49,31442.83,31691.59,3597,371,0,3597
2025-01-02 09:00:00,31688.33,31713.32,31041.69,31138.58,3595,366,0,3595
2025-01-02 10:00:00,31134.17,31214.93,30776.75,31068.09,3598,363,0,3598
2025-01-02 11:00:00,31069.48,31128.43,30960.64,31033.87,3585,365,0,3585
2025-01-02 12:00:00,31032.58,31200.79,30819.41,30855.88,3594,363,0,3594
2025-01-02 13:00:00,30858.86,31207.06,30835.7,31190.57,3597,363,0,3597
2025-01-02 14:00:00,31186.93,31471.0,31186.93,31466.71,3595,368,0,3595
2025-01-02 15:00:00,31465.49,31536.33,31201.78,31227.25,3595,368,0,3595
2025-01-02 16:00:00,31225.53,31502.9,31205.4,31373.45,3593,368,0,3593
2025-01-02 17:00:00,31371.62,31414.57,31033.76,31039.22,3598,366,0,3598
2025-01-02 18:00:00,31036.71,31132.82,30698.78,30739.64,3594,362,0,3594
2025-01-02 19:00:00,30739.87,30874.38,30595.02,30783.41,3596,361,0,3596
2025-01-02 20:00:00,30784.1,30897.3,30535.41,30559.15,3598,360,0,3598
2025-01-02 21:00:00,30561.14,30667.01,30351.79,30445.95,3594,358,0,3594
2025-01-02 22:00:00,30447.35,30470.35,30311.39,30340.83,3594,357,0,3594
2025-01-02 23:00:00,30341.14,30341.14,30048.87,30061.0,3594,354,0,3594
2025-01-03 00:00:00,30058.35,30257.27,29937.28,30190.17,3595,353,0,3595
2025-01-03 01:00:00,30191.29,30335.64,29980.95,30046.72,3592,353,0,3592
2025-01-03 02:00:00,30045.78,30080.07,29743.57,29902.5,3595,351,0,3595
2025-01-03 03:00:00,29902.01,29906.09,29716.52,29721.97,3594,350,0,3594
2025-01-03 04:00:00,29717.0,29741.46,29437.74,29520.61,3596,347,0,3596
2025-01-03 05:00:00,29520.05,29582.8,29239.9,29577.67,3595,345,0,3595
2025-01-03 06:00:00,29581.33,29706.57,29492.25,29596.08,3594,348,0,3594
2025-01-03 07:00:00,29599.11,29878.73,29505.64,29854.54,3595,348,0,3595
2025-01-03 08:00:00,29849.82,30041.41,29815.38,29877.75,3595,351,0,3595
2025-01-03 09:00:00,29879.15,29901.88,29461.15,29627.33,3596,347,0,3596
2025-01-03 10:00:00,29626.61,29762.79,29434.33,29735.71,3595,347,0,3595
2025-01-03 11:00:00,29734.64,29743.66,29577.16,29695.11,3597,349,0,3597
2025-01-03 12:00:00,29691.46,30132.53,29679.9,30104.13,3591,350,0,3591
2025-01-03 13:00:00,30103.84,30209.66,29885.57,29907.43,3595,352,0,3595
