datetime,open,high,low,close,tick_volume,spread,real_volume,volume
2024-12-31 23:00:00,93467.838,93734.638,93355.438,93547.538,2319,2424,0,2319
2025-01-01 00:00:00,93547.538,94447.938,93459.038,94362.438,2603,2424,0,2603
2025-01-01 01:00:00,94362.438,94362.438,93543.838,93586.738,2003,2424,0,2003
2025-01-01 02:00:00,93586.738,94081.138,93560.638,94063.238,1694,2424,0,1694
2025-01-01 03:00:00,94063.238,94068.938,93691.438,93808.838,1224,2424,0,1224
2025-01-01 04:00:00,93808.838,93808.838,93502.316,93543.738,1392,2424,0,1392
2025-01-01 05:00:00,93543.738,93913.438,93519.138,93758.738,971,2424,0,971
2025-01-01 06:00:00,93758.738,93758.738,93532.138,93733.038,854,2424,0,854
2025-01-01 07:00:00,93733.038,93784.138,93623.974,93659.538,602,2424,0,602
2025-01-01 08:00:00,93659.538,93733.938,93273.738,93396.938,1581,2424,0,1581
2025-01-01 09:00:00,93396.938,93461.638,92853.438,93374.538,2729,2424,0,2729
2025-01-01 10:00:00,93380.838,93508.738,93248.938,93306.538,1584,2424,0,1584
2025-01-01 11:00:00,93306.538,93686.938,93158.838,93418.938,1683,2424,0,1683
2025-01-01 12:00:00,93418.938,93950.638,93373.838,93787.138,1840,2424,0,1840
2025-01-01 13:00:00,93787.138,94031.738,93568.706,93994.038,2190,2424,0,2190
2025-01-01 14:00:00,93994.038,94428.738,93622.038,94145.938,3936,2424,0,3936
2025-01-01 15:00:00,94145.938,94486.138,93860.842,94412.438,2729,2424,0,2729
2025-01-01 16:00:00,94408.738,94473.738,93898.838,94068.838,2429,2424,0,2429
2025-01-01 17:00:00,94068.838,94178.738,93726.892,94122.438,1965,2424,0,1965
2025-01-01 18:00:00,94122.438,94373.838,93917.438,94320.338,1834,2424,0,1834
2025-01-01 19:00:00,94320.338,94821.938,94128.006,94610.838,2407,2424,0,2407
2025-01-01 20:00:00,94610.838,94848.738,94560.254,94766.038,2054,2424,0,2054
2025-01-01 21:00:00,94766.038,95159.938,94659.838,94961.238,2454,2424,0,2454
2025-01-01 22:00:00,94961.238,94984.338,94663.738,94769.338,1233,2424,0,1233
2025-01-01 23:00:00,94769.338,94938.738,94520.938,94579.738,2071,2424,0,2071
2025-01-02 00:00:00,94579.738,95368.138,94360.438,95111.038,5299,2424,0,5299
2025-01-02 01:00:00,95111.038,95510.138,94697.538,94845.438,3701,2424,0,3701
2025-01-02 02:00:00,94845.438,95221.538,94785.596,95221.538,2619,2424,0,2619
