datetime,open,high,low,close,tick_volume,spread,real_volume,volume
2024-01-01 23:00:00,2063.13,2066.47,2062.28,2063.63,2559,5,0,2559
2024-01-02 00:00:00,2063.61,2065.89,2062.28,2065.5,2861,0,0,2861
2024-01-02 01:00:00,2065.48,2069.89,2064.85,2066.54,6761,0,0,6761
2024-01-02 02:00:00,2066.5,2068.43,2063.97,2067.89,4024,0,0,4024
2024-01-02 03:00:00,2067.89,2070.4,2066.45,2069.62,3311,1,0,3311
2024-01-02 04:00:00,2069.62,2070.69,2068.9,2069.61,2744,6,0,2744
2024-01-02 05:00:00,2069.61,2074.95,2069.47,2074.52,4234,0,0,4234
2024-01-02 06:00:00,2074.52,2076.79,2072.91,2074.16,4090,0,0,4090
2024-01-02 07:00:00,2074.16,2076.38,2073.14,2073.15,6390,0,0,6390
2024-01-02 08:00:00,2073.14,2074.58,2071.84,2073.33,7311,0,0,7311
2024-01-02 09:00:00,2073.33,2078.98,2073.32,2077.06,5971,0,0,5971
2024-01-02 10:00:00,2077.06,2077.77,2073.52,2076.04,5311,0,0,5311
2024-01-02 11:00:00,2076.04,2076.23,2068.35,2069.25,7470,0,0,7470
2024-01-02 12:00:00,2069.26,2069.48,2065.11,2067.95,7242,0,0,7242
2024-01-02 13:00:00,2067.95,2071.11,2064.88,2066.23,12264,0,0,12264
2024-01-02 14:00:00,2066.23,2070.48,2062.19,2070.4,17587,0,0,17587
2024-01-02 15:00:00,2070.4,2070.73,2055.97,2059.37,16490,0,0,16490
2024-01-02 16:00:00,2059.36,2067.63,2059.17,2066.11,11501,0,0,11501
2024-01-02 17:00:00,2066.09,2067.0,2061.84,2062.69,6446,0,0,6446
2024-01-02 18:00:00,2062.69,2064.97,2060.62,2061.19,4717,0,0,4717
2024-01-02 19:00:00,2061.19,2062.24,2060.46,2060.93,3968,0,0,3968
2024-01-02 20:00:00,2060.93,2061.62,2057.99,2058.19,3674,0,0,3674
2024-01-02 21:00:00,2058.21,2059.26,2058.07,2058.76,1558,0,0,1558
2024-01-02 23:00:00,2058.45,2060.14,2058.41,2059.6,1550,1,0,1550
2024-01-03 00:00:00,2059.63,2062.12,2059.26,2060.19,2762,0,0,2762
2024-01-03 01:00:00,2060.19,2062.57,2059.56,2062.5,4916,0,0,4916
